Ano,Semana,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Infectados
2012,22,0.00,250.80,151.00,59.00,50.80,194.82,396.50,12.70,0
2012,23,0.00,245.80,151.00,43.70,66.00,193.70,434.25,18.03,0
2012,24,0.00,252.10,148.10,57.50,77.50,194.90,396.50,15.57,0
2012,25,0.10,250.50,154.00,52.80,64.10,192.74,454.00,14.67,0
2012,26,0.00,249.50,149.30,60.20,69.60,194.64,400.25,15.20,0
2012,27,0.00,245.20,154.20,47.80,85.80,195.30,424.00,6.00,0
2012,28,0.00,252.70,154.70,56.10,81.60,195.34,463.00,7.65,2
2012,29,0.00,248.70,150.10,50.10,78.70,192.60,462.00,8.55,1
2012,30,0.00,252.40,149.90,69.60,93.30,197.50,403.00,14.10,0
2012,31,0.00,251.60,140.90,73.10,97.40,194.24,358.50,11.50,1
2012,32,0.00,251.60,159.10,60.10,78.70,196.80,405.75,21.17,0
2012,33,0.00,252.20,149.10,61.80,99.50,197.32,378.00,18.90,1
2012,34,0.00,254.10,145.20,74.30,102.30,196.68,358.75,20.83,0
2012,35,0.00,256.80,148.00,70.30,95.50,194.82,401.25,19.23,0
2012,36,0.00,254.40,149.40,75.20,101.40,196.40,448.00,30.75,0
2012,37,0.00,257.40,149.60,69.50,93.60,196.80,470.00,27.25,0
2012,38,0.00,257.20,155.00,68.10,96.60,199.20,466.00,22.75,0
2012,39,0.00,257.00,157.20,70.60,93.90,198.48,476.00,20.25,0
2012,40,0.00,259.54,155.51,72.30,79.80,198.03,436.91,24.71,0
2012,41,0.00,259.50,159.60,62.60,90.60,199.84,401.75,20.23,0
2012,42,0.00,256.40,159.90,61.70,97.80,198.86,395.50,18.13,1
2012,43,1.00,263.20,155.70,66.30,98.40,198.78,402.00,16.83,0
2012,44,0.00,258.00,156.80,63.80,89.60,196.48,436.50,17.44,0
2012,45,0.00,257.90,158.80,69.80,96.70,198.34,405.25,15.17,0
2012,46,0.00,262.90,156.40,69.71,83.70,198.40,392.00,16.20,0
2012,47,0.00,262.80,160.80,67.90,98.90,201.58,381.00,11.93,0
2012,48,0.00,251.40,164.90,52.90,84.10,200.30,423.50,14.87,0
2012,49,0.00,256.20,160.20,58.60,85.40,200.00,490.00,28.00,0
2012,50,0.00,261.10,161.60,63.90,87.70,202.66,473.00,25.25,0
2012,51,0.00,258.90,166.60,57.40,84.40,203.94,480.00,20.00,0
2012,52,0.00,260.80,166.10,55.80,84.20,203.50,491.00,17.50,0
2012,53,0.00,74.20,48.30,12.90,22.50,58.38,126.25,4.00,0
2013,1,73.90,167.00,114.70,12.90,34.60,134.36,368.50,7.43,0
2013,2,12.30,243.60,165.60,49.10,60.90,197.24,461.25,12.40,0
2013,3,1.20,242.90,164.00,50.00,66.72,196.70,481.75,8.87,0
2013,4,14.20,245.90,161.10,47.80,47.40,195.42,505.50,11.00,0
2013,5,0.00,258.30,159.70,63.10,82.70,201.16,417.00,14.57,0
2013,6,1.20,256.60,162.40,54.10,82.70,201.08,430.75,15.97,0
2013,7,46.60,241.50,169.00,45.80,64.70,196.88,489.50,11.40,0
2013,8,68.80,229.20,155.70,50.80,33.20,187.76,528.75,9.03,0
2013,9,0.00,246.90,160.80,71.40,73.40,199.70,430.00,13.07,0
2013,10,0.00,253.00,164.80,55.90,83.40,202.78,428.25,11.97,0
2013,11,0.00,259.50,168.40,55.50,71.10,204.68,433.25,14.70,0
2013,12,21.40,242.40,165.30,44.00,54.32,195.92,483.75,10.17,0
2013,13,88.90,227.60,158.30,49.80,26.20,186.52,537.00,7.93,0
2013,14,21.30,229.90,159.80,51.10,30.10,190.04,515.25,10.43,1
2013,15,1.20,238.70,162.30,61.20,39.00,193.72,475.50,10.63,2
2013,16,29.70,229.80,160.00,44.00,37.80,187.42,497.00,7.50,0
2013,17,20.10,226.70,159.00,49.60,24.20,185.80,530.25,6.00,1
2013,18,45.20,224.50,155.90,46.50,25.80,183.52,560.00,4.47,0
2013,19,6.50,227.50,158.20,53.20,25.20,186.48,538.00,6.53,0
2013,20,29.20,223.00,156.90,42.40,27.70,184.08,533.00,5.10,0
2013,21,28.50,221.50,157.70,41.00,16.50,182.30,564.00,5.63,0
2013,22,0.00,231.60,142.60,68.80,41.20,182.00,497.50,7.57,0
2013,23,4.10,234.60,147.70,66.20,40.00,185.50,487.00,7.10,0
2013,24,27.60,230.80,158.00,47.10,48.80,187.04,487.50,6.93,0
2013,25,20.70,229.50,146.70,52.60,44.10,182.40,506.75,8.27,0
2013,26,7.00,230.50,152.60,52.60,36.90,186.78,490.25,6.20,0
2013,27,16.40,226.10,150.70,48.40,42.40,182.82,535.00,3.57,1
2013,28,7.70,232.30,146.90,57.20,49.70,184.58,514.91,6.00,0
2013,29,24.40,230.40,144.40,56.10,46.10,182.18,534.00,5.10,0
2013,30,3.70,237.70,147.50,55.70,57.30,188.04,507.00,8.25,1
2013,31,0.00,247.80,138.70,73.60,76.60,189.66,394.75,7.07,2
2013,32,0.00,249.60,143.20,69.90,85.00,191.70,373.25,9.83,3
2013,33,0.00,254.30,155.30,67.00,83.80,196.04,408.75,13.17,1
