ds,exo
2015-01-16,3.4
2015-01-17,12.9
2015-01-18,33.6
2015-01-19,26.0
2015-01-20,0.0
2015-01-21,16.0
2015-01-22,0.2
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,5.2
2015-01-26,21.9
2015-01-27,0.9
2015-01-28,1.5
2015-01-29,8.2
2015-01-30,2.9
2015-01-31,0.0
2015-02-01,2.6
2015-02-02,6.9
2015-02-03,0.0
2015-02-04,9.5
2015-02-05,28.1
2015-02-06,7.4
2015-02-07,1.5
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,7.0
2015-02-11,0.6
2015-02-12,11.4
2015-02-13,24.3
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,2.1
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,3.4
2015-02-20,27.8
2015-02-21,0.0
2015-02-22,37.5
2015-02-23,22.9
2015-02-24,2.0
2015-02-25,1.1
2015-02-26,0.0
2015-02-27,5.5
2015-02-28,5.3
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,4.3
2015-03-05,8.8
2015-03-06,1.2
2015-03-07,0.0
2015-03-08,0.3
2015-03-09,1.6
2015-03-10,2.2
2015-03-11,8.1
2015-03-12,0.2
2015-03-13,0.0
2015-03-14,0.2
2015-03-15,8.2
2015-03-16,0.7
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,5.5
2015-03-22,2.7
2015-03-23,1.8
2015-03-24,0.2
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,3.4
2015-03-28,3.1
2015-03-29,29.5
2015-03-30,9.3
2015-03-31,5.3
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,16.8
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,1.9
2015-04-16,0.3
2015-04-17,0.0
2015-04-18,6.1
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,31.2
2015-04-22,5.6
2015-04-23,2.0
