Data_Notificacao,Infectados_Dengue,Semana,Ano
24/01/2009,20,4,2009
25/01/2009,10,5,2009
26/01/2009,46,5,2009
27/01/2009,43,5,2009
28/01/2009,54,5,2009
29/01/2009,18,5,2009
30/01/2009,45,5,2009
31/01/2009,16,5,2009
01/02/2009,30,6,2009
02/02/2009,63,6,2009
03/02/2009,63,6,2009
04/02/2009,58,6,2009
05/02/2009,70,6,2009
06/02/2009,42,6,2009
07/02/2009,57,6,2009
08/02/2009,34,7,2009
09/02/2009,50,7,2009
10/02/2009,78,7,2009
11/02/2009,60,7,2009
12/02/2009,59,7,2009
13/02/2009,46,7,2009
14/02/2009,50,7,2009
15/02/2009,34,8,2009
16/02/2009,68,8,2009
17/02/2009,64,8,2009
18/02/2009,60,8,2009
19/02/2009,52,8,2009
20/02/2009,65,8,2009
21/02/2009,26,8,2009
22/02/2009,24,9,2009
23/02/2009,8,9,2009
24/02/2009,24,9,2009
25/02/2009,24,9,2009
26/02/2009,80,9,2009
27/02/2009,58,9,2009
28/02/2009,86,9,2009
01/03/2009,51,10,2009
02/03/2009,66,10,2009
03/03/2009,60,10,2009
04/03/2009,93,10,2009
05/03/2009,99,10,2009
06/03/2009,141,10,2009
07/03/2009,103,10,2009
08/03/2009,76,11,2009
09/03/2009,152,11,2009
10/03/2009,118,11,2009
11/03/2009,175,11,2009
12/03/2009,115,11,2009
13/03/2009,120,11,2009
14/03/2009,184,11,2009
15/03/2009,70,12,2009
16/03/2009,142,12,2009
17/03/2009,141,12,2009
18/03/2009,188,12,2009
19/03/2009,52,12,2009
20/03/2009,101,12,2009
21/03/2009,177,12,2009
22/03/2009,53,13,2009
23/03/2009,101,13,2009
24/03/2009,76,13,2009
25/03/2009,124,13,2009
26/03/2009,110,13,2009
27/03/2009,115,13,2009
28/03/2009,48,13,2009
29/03/2009,34,14,2009
30/03/2009,121,14,2009
31/03/2009,72,14,2009
01/04/2009,60,14,2009
02/04/2009,78,14,2009
03/04/2009,56,14,2009
04/04/2009,64,14,2009
05/04/2009,40,15,2009
06/04/2009,84,15,2009
07/04/2009,50,15,2009
08/04/2009,50,15,2009
09/04/2009,45,15,2009
10/04/2009,23,15,2009
11/04/2009,32,15,2009
12/04/2009,29,16,2009
13/04/2009,47,16,2009
14/04/2009,40,16,2009
15/04/2009,37,16,2009
16/04/2009,35,16,2009
17/04/2009,30,16,2009
18/04/2009,40,16,2009
19/04/2009,10,17,2009
20/04/2009,44,17,2009
21/04/2009,20,17,2009
22/04/2009,28,17,2009
23/04/2009,18,17,2009
24/04/2009,20,17,2009
25/04/2009,28,17,2009
26/04/2009,16,18,2009
27/04/2009,27,18,2009
28/04/2009,20,18,2009
29/04/2009,44,18,2009
30/04/2009,18,18,2009
01/05/2009,30,18,2009
02/05/2009,34,18,2009
03/05/2009,30,19,2009
04/05/2009,28,19,2009
05/05/2009,26,19,2009
06/05/2009,30,19,2009
07/05/2009,12,19,2009
08/05/2009,26,19,2009
09/05/2009,32,19,2009
10/05/2009,8,20,2009
11/05/2009,30,20,2009
12/05/2009,16,20,2009
13/05/2009,30,20,2009
14/05/2009,26,20,2009
15/05/2009,22,20,2009
16/05/2009,28,20,2009
17/05/2009,22,21,2009
18/05/2009,22,21,2009
19/05/2009,12,21,2009
20/05/2009,33,21,2009
21/05/2009,18,21,2009
22/05/2009,12,21,2009
23/05/2009,18,21,2009
24/05/2009,8,22,2009
25/05/2009,18,22,2009
26/05/2009,24,22,2009
27/05/2009,14,22,2009
28/05/2009,2,22,2009
29/05/2009,26,22,2009
