Semana,Ano,Data_Notificacao,Infectados_Dengue,Infectados_7
14,2008,01/04/2008,611,2419
14,2008,02/04/2008,414,2702
14,2008,03/04/2008,491,2780
14,2008,04/04/2008,577,3004
14,2008,05/04/2008,426,3226
15,2008,06/04/2008,385,3349
15,2008,07/04/2008,652,3418
15,2008,08/04/2008,700,3556
15,2008,09/04/2008,875,3645
15,2008,10/04/2008,859,4106
15,2008,11/04/2008,632,4474
15,2008,12/04/2008,411,4529
16,2008,13/04/2008,409,4514
16,2008,14/04/2008,890,4538
16,2008,15/04/2008,892,4776
16,2008,16/04/2008,934,4968
16,2008,17/04/2008,974,5027
16,2008,18/04/2008,888,5142
16,2008,19/04/2008,708,5398
17,2008,20/04/2008,483,5695
17,2008,21/04/2008,571,5769
17,2008,22/04/2008,1249,5450
17,2008,23/04/2008,1057,5807
17,2008,24/04/2008,1144,5930
17,2008,25/04/2008,1155,6100
17,2008,26/04/2008,574,6367
18,2008,27/04/2008,489,6233
18,2008,28/04/2008,1042,6239
18,2008,29/04/2008,938,6710
18,2008,30/04/2008,947,6399
18,2008,01/05/2008,630,6289
18,2008,02/05/2008,969,5775
18,2008,03/05/2008,586,5589
19,2008,04/05/2008,513,5601
19,2008,05/05/2008,1050,5625
19,2008,06/05/2008,880,5633
19,2008,07/05/2008,892,5575
19,2008,08/05/2008,799,5520
19,2008,09/05/2008,821,5689
19,2008,10/05/2008,660,5541
20,2008,11/05/2008,385,5615
20,2008,12/05/2008,836,5487
20,2008,13/05/2008,800,5273
20,2008,14/05/2008,798,5193
20,2008,15/05/2008,857,5099
20,2008,16/05/2008,715,5157
20,2008,17/05/2008,554,5051
21,2008,18/05/2008,598,4945
21,2008,19/05/2008,980,5158
21,2008,20/05/2008,1142,5302
21,2008,21/05/2008,814,5644
21,2008,22/05/2008,633,5660
21,2008,23/05/2008,767,5436
21,2008,24/05/2008,718,5488
22,2008,25/05/2008,467,5652
22,2008,26/05/2008,957,5521
22,2008,27/05/2008,725,5498
22,2008,28/05/2008,750,5081
22,2008,29/05/2008,737,5017
22,2008,30/05/2008,775,5121
22,2008,31/05/2008,415,5129
23,2008,01/06/2008,380,4826
23,2008,02/06/2008,602,4739
23,2008,03/06/2008,576,4384
23,2008,04/06/2008,540,4235
23,2008,05/06/2008,450,4025
23,2008,06/06/2008,391,3738
23,2008,07/06/2008,445,3354
24,2008,08/06/2008,231,3384
24,2008,09/06/2008,437,3235
24,2008,10/06/2008,478,3070
24,2008,11/06/2008,367,2972
24,2008,12/06/2008,308,2799
24,2008,13/06/2008,261,2657
24,2008,14/06/2008,240,2527
25,2008,15/06/2008,264,2322
25,2008,16/06/2008,403,2355
25,2008,17/06/2008,330,2321
25,2008,18/06/2008,290,2173
25,2008,19/06/2008,345,2096
25,2008,20/06/2008,248,2133
25,2008,21/06/2008,217,2120
26,2008,22/06/2008,130,2097
26,2008,23/06/2008,305,1963
26,2008,24/06/2008,232,1865
26,2008,25/06/2008,211,1767
26,2008,26/06/2008,171,1688
26,2008,27/06/2008,169,1514
26,2008,28/06/2008,105,1435
27,2008,29/06/2008,75,1323
27,2008,30/06/2008,141,1268
27,2008,01/07/2008,139,1104
27,2008,02/07/2008,120,1011
27,2008,03/07/2008,105,920
27,2008,04/07/2008,74,854
27,2008,05/07/2008,52,759
28,2008,06/07/2008,43,706
28,2008,07/07/2008,90,674
28,2008,08/07/2008,57,623
28,2008,09/07/2008,52,541
28,2008,10/07/2008,63,473
28,2008,11/07/2008,75,431
28,2008,12/07/2008,61,432
29,2008,13/07/2008,40,441
29,2008,14/07/2008,66,438
29,2008,15/07/2008,34,414
29,2008,16/07/2008,38,391
29,2008,17/07/2008,55,377
29,2008,18/07/2008,68,369
29,2008,19/07/2008,62,362
30,2008,20/07/2008,32,363
30,2008,21/07/2008,32,355
30,2008,22/07/2008,138,321
30,2008,23/07/2008,45,425
30,2008,24/07/2008,47,432
30,2008,25/07/2008,46,424
30,2008,26/07/2008,34,402
31,2008,27/07/2008,8,374
31,2008,28/07/2008,36,350
31,2008,29/07/2008,41,354
31,2008,30/07/2008,30,257
31,2008,31/07/2008,43,242
31,2008,01/08/2008,55,238
31,2008,02/08/2008,30,247
32,2008,03/08/2008,33,243
32,2008,04/08/2008,36,268
32,2008,05/08/2008,81,268
32,2008,06/08/2008,36,308
32,2008,07/08/2008,26,314
32,2008,08/08/2008,26,297
32,2008,09/08/2008,22,268
33,2008,10/08/2008,12,260
33,2008,11/08/2008,45,239
33,2008,12/08/2008,24,248
33,2008,13/08/2008,21,191
33,2008,14/08/2008,42,176
33,2008,15/08/2008,32,192
33,2008,16/08/2008,16,198
34,2008,17/08/2008,16,192
34,2008,18/08/2008,30,196
34,2008,19/08/2008,21,181
34,2008,20/08/2008,50,178
34,2008,21/08/2008,25,207
34,2008,22/08/2008,26,190
34,2008,23/08/2008,11,184
35,2008,24/08/2008,19,179
35,2008,25/08/2008,14,182
35,2008,26/08/2008,18,166
35,2008,27/08/2008,32,163
35,2008,28/08/2008,12,145
35,2008,29/08/2008,14,132
35,2008,30/08/2008,6,120
36,2008,31/08/2008,27,115
36,2008,01/09/2008,20,123
36,2008,02/09/2008,20,129
36,2008,03/09/2008,24,131
36,2008,04/09/2008,22,123
36,2008,05/09/2008,18,133
36,2008,06/09/2008,10,137
37,2008,07/09/2008,10,141
37,2008,08/09/2008,11,124
37,2008,09/09/2008,10,115
37,2008,10/09/2008,28,105
37,2008,11/09/2008,14,109
37,2008,12/09/2008,33,101
37,2008,13/09/2008,18,116
38,2008,14/09/2008,8,124
38,2008,15/09/2008,17,122
38,2008,16/09/2008,16,128
38,2008,17/09/2008,21,134
38,2008,18/09/2008,6,127
38,2008,19/09/2008,26,119
38,2008,20/09/2008,14,112
39,2008,21/09/2008,8,108
39,2008,22/09/2008,16,108
39,2008,23/09/2008,20,107
39,2008,24/09/2008,16,111
39,2008,25/09/2008,14,106
39,2008,26/09/2008,10,114
39,2008,27/09/2008,10,98
40,2008,28/09/2008,16,94
40,2008,29/09/2008,4,102
40,2008,30/09/2008,2,90
40,2008,01/10/2008,23,72
40,2008,02/10/2008,6,79
40,2008,03/10/2008,22,71
40,2008,04/10/2008,14,83
41,2008,05/10/2008,0,87
41,2008,06/10/2008,20,71
41,2008,07/10/2008,20,87
41,2008,08/10/2008,24,105
41,2008,09/10/2008,30,106
41,2008,10/10/2008,17,130
41,2008,11/10/2008,12,125
42,2008,12/10/2008,10,123
42,2008,13/10/2008,16,133
42,2008,14/10/2008,20,129
42,2008,15/10/2008,391,129
42,2008,16/10/2008,9,496
42,2008,17/10/2008,18,475
42,2008,18/10/2008,32,476
43,2008,19/10/2008,12,496
43,2008,20/10/2008,25,498
43,2008,21/10/2008,16,507
43,2008,22/10/2008,16,503
43,2008,23/10/2008,24,128
43,2008,24/10/2008,32,143
43,2008,25/10/2008,10,157
44,2008,26/10/2008,8,135
44,2008,27/10/2008,8,131
44,2008,28/10/2008,12,114
44,2008,29/10/2008,17,110
44,2008,30/10/2008,20,111
44,2008,31/10/2008,20,107
44,2008,01/11/2008,11,95
45,2008,02/11/2008,4,96
45,2008,03/11/2008,12,92
45,2008,04/11/2008,26,96
45,2008,05/11/2008,18,110
45,2008,06/11/2008,10,111
45,2008,07/11/2008,12,101
45,2008,08/11/2008,8,93
46,2008,09/11/2008,14,90
46,2008,10/11/2008,23,100
46,2008,11/11/2008,23,111
46,2008,12/11/2008,35,108
46,2008,13/11/2008,16,125
46,2008,14/11/2008,16,131
46,2008,15/11/2008,10,135
47,2008,16/11/2008,2,137
47,2008,17/11/2008,40,125
47,2008,18/11/2008,18,142
47,2008,19/11/2008,20,137
47,2008,20/11/2008,16,122
47,2008,21/11/2008,28,122
47,2008,22/11/2008,14,134
48,2008,23/11/2008,12,138
48,2008,24/11/2008,18,148
48,2008,25/11/2008,36,126
48,2008,26/11/2008,22,144
48,2008,27/11/2008,14,146
48,2008,28/11/2008,30,144
48,2008,29/11/2008,2,146
49,2008,30/11/2008,4,134
49,2008,01/12/2008,18,126
49,2008,02/12/2008,18,126
49,2008,03/12/2008,20,108
49,2008,04/12/2008,11,106
49,2008,05/12/2008,12,103
49,2008,06/12/2008,4,85
50,2008,07/12/2008,8,87
50,2008,08/12/2008,14,91
50,2008,09/12/2008,16,87
50,2008,10/12/2008,20,85
50,2008,11/12/2008,24,85
50,2008,12/12/2008,16,98
50,2008,13/12/2008,2,102
51,2008,14/12/2008,2,100
51,2008,15/12/2008,34,94
51,2008,16/12/2008,12,114
51,2008,17/12/2008,40,110
51,2008,18/12/2008,24,130
51,2008,19/12/2008,22,130
51,2008,20/12/2008,12,136
52,2008,21/12/2008,0,146
52,2008,22/12/2008,24,144
52,2008,23/12/2008,9,134
52,2008,24/12/2008,2,131
52,2008,25/12/2008,6,93
52,2008,26/12/2008,8,75
52,2008,27/12/2008,12,61
53,2008,28/12/2008,8,61
53,2008,29/12/2008,14,69
53,2008,30/12/2008,26,59
53,2008,31/12/2008,8,76
1,2009,01/01/2009,4,82
1,2009,02/01/2009,16,80
1,2009,03/01/2009,16,88
2,2009,04/01/2009,8,92
2,2009,05/01/2009,37,92
2,2009,06/01/2009,19,115
2,2009,07/01/2009,26,108
2,2009,08/01/2009,24,126
2,2009,09/01/2009,18,146
2,2009,10/01/2009,6,148
3,2009,11/01/2009,0,138
3,2009,12/01/2009,24,130
3,2009,13/01/2009,16,117
3,2009,14/01/2009,36,114
3,2009,15/01/2009,14,124
3,2009,16/01/2009,26,114
3,2009,17/01/2009,16,122
4,2009,18/01/2009,8,132
4,2009,19/01/2009,61,140
